gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
YDR451C	YDR451C_mRNA	YDR451C	NM_001180759.3	RefSeq_dna	DEPENDENT	-	-	-
YDR469W	YDR469W_mRNA	YDR469W	NP_010757.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR469W	YDR469W_mRNA	YDR469W	NM_001180777.3	RefSeq_dna	DEPENDENT	-	-	-
YDR470C	YDR470C_mRNA	YDR470C	NP_010758.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR470C	YDR470C_mRNA	YDR470C	NM_001180778.2	RefSeq_dna	DEPENDENT	-	-	-
YDR105C	YDR105C_mRNA	YDR105C	NP_010390.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR105C	YDR105C_mRNA	YDR105C	NM_001180413.3	RefSeq_dna	DEPENDENT	-	-	-
YDR483W	YDR483W_mRNA	YDR483W	NP_010771.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR483W	YDR483W_mRNA	YDR483W	NM_001180791.1	RefSeq_dna	DEPENDENT	-	-	-
YDL123W	YDL123W_mRNA	YDL123W	NP_010160.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL123W	YDL123W_mRNA	YDL123W	NM_001180182.1	RefSeq_dna	DEPENDENT	-	-	-
YDL199C	YDL199C_mRNA	YDL199C	NP_010082.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL199C	YDL199C_mRNA	YDL199C	NM_001180259.1	RefSeq_dna	DEPENDENT	-	-	-
YDR505C	YDR505C_mRNA	YDR505C	NP_010793.2	RefSeq_peptide	DEPENDENT	-	-	-
YDR505C	YDR505C_mRNA	YDR505C	NM_001180813.2	RefSeq_dna	DEPENDENT	-	-	-
YDL045W-A	YDL045W-A_mRNA	YDL045W-A	NP_010238.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL045W-A	YDL045W-A_mRNA	YDL045W-A	NM_001184304.1	RefSeq_dna	DEPENDENT	-	-	-
YDL045C	YDL045C_mRNA	YDL045C	NP_010239.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL045C	YDL045C_mRNA	YDL045C	NM_001180104.1	RefSeq_dna	DEPENDENT	-	-	-
YDR361C	YDR361C_mRNA	YDR361C	NP_010648.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR361C	YDR361C_mRNA	YDR361C	NM_001180669.3	RefSeq_dna	DEPENDENT	-	-	-
YDR266C	YDR266C_mRNA	YDR266C	NP_010552.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR266C	YDR266C_mRNA	YDR266C	NM_001180574.3	RefSeq_dna	DEPENDENT	-	-	-
YDR002W	YDR002W_mRNA	YDR002W	NP_010285.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR002W	YDR002W_mRNA	YDR002W	NM_001180310.1	RefSeq_dna	DEPENDENT	-	-	-
YDR214W	YDR214W_mRNA	YDR214W	NP_010500.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR214W	YDR214W_mRNA	YDR214W	NM_001180522.3	RefSeq_dna	DEPENDENT	-	-	-
YDR130C	YDR130C_mRNA	YDR130C	NP_010415.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR130C	YDR130C_mRNA	YDR130C	NM_001180438.1	RefSeq_dna	DEPENDENT	-	-	-
YDL176W	YDL176W_mRNA	YDL176W	NP_010105.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL176W	YDL176W_mRNA	YDL176W	NM_001180236.1	RefSeq_dna	DEPENDENT	-	-	-
YDR358W	YDR358W_mRNA	YDR358W	NP_010645.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR358W	YDR358W_mRNA	YDR358W	NM_001180666.1	RefSeq_dna	DEPENDENT	-	-	-
YDR460W	YDR460W_mRNA	YDR460W	NP_010748.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR460W	YDR460W_mRNA	YDR460W	NM_001180768.3	RefSeq_dna	DEPENDENT	-	-	-
YDR034W-B	YDR034W-B_mRNA	YDR034W-B	NP_010319.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR034W-B	YDR034W-B_mRNA	YDR034W-B	NM_001184327.3	RefSeq_dna	DEPENDENT	-	-	-
YDL028C	YDL028C_mRNA	YDL028C	NP_010256.2	RefSeq_peptide	DEPENDENT	-	-	-
YDL028C	YDL028C_mRNA	YDL028C	NM_001180087.2	RefSeq_dna	DEPENDENT	-	-	-
YDR061W	YDR061W_mRNA	YDR061W	NP_010346.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR061W	YDR061W_mRNA	YDR061W	NM_001180369.3	RefSeq_dna	DEPENDENT	-	-	-
YDR060W	YDR060W_mRNA	YDR060W	NP_010345.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR060W	YDR060W_mRNA	YDR060W	NM_001180368.3	RefSeq_dna	DEPENDENT	-	-	-
YDR169C-A	YDR169C-A_mRNA	YDR169C-A	NP_878062.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR169C-A	YDR169C-A_mRNA	YDR169C-A	NM_001184544.3	RefSeq_dna	DEPENDENT	-	-	-
YDR363W	YDR363W_mRNA	YDR363W	NP_010650.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR363W	YDR363W_mRNA	YDR363W	NM_001180671.1	RefSeq_dna	DEPENDENT	-	-	-
YDR422C	YDR422C_mRNA	YDR422C	NP_010710.4	RefSeq_peptide	DEPENDENT	-	-	-
YDR422C	YDR422C_mRNA	YDR422C	NM_001180730.3	RefSeq_dna	DEPENDENT	-	-	-
YDR119W	YDR119W_mRNA	YDR119W	NP_010404.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR119W	YDR119W_mRNA	YDR119W	NM_001180427.1	RefSeq_dna	DEPENDENT	-	-	-
YDR097C	YDR097C_mRNA	YDR097C	NP_010382.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR097C	YDR097C_mRNA	YDR097C	NM_001180405.3	RefSeq_dna	DEPENDENT	-	-	-
YDR042C	YDR042C_mRNA	YDR042C	NP_010327.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR042C	YDR042C_mRNA	YDR042C	NM_001180350.3	RefSeq_dna	DEPENDENT	-	-	-
YDL160C	YDL160C_mRNA	YDL160C	NP_010121.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL160C	YDL160C_mRNA	YDL160C	NM_001180220.1	RefSeq_dna	DEPENDENT	-	-	-
YDR425W	YDR425W_mRNA	YDR425W	NP_010713.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR425W	YDR425W_mRNA	YDR425W	NM_001180733.1	RefSeq_dna	DEPENDENT	-	-	-
YDR228C	YDR228C_mRNA	YDR228C	NP_010514.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR228C	YDR228C_mRNA	YDR228C	NM_001180536.3	RefSeq_dna	DEPENDENT	-	-	-
YDR319C	YDR319C_mRNA	YDR319C	NP_010605.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR319C	YDR319C_mRNA	YDR319C	NM_001180627.1	RefSeq_dna	DEPENDENT	-	-	-
YDR471W	YDR471W_mRNA	YDR471W	NP_010759.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR471W	YDR471W_mRNA	YDR471W	NM_001180779.1	RefSeq_dna	DEPENDENT	-	-	-
YDR089W	YDR089W_mRNA	YDR089W	NP_010374.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR089W	YDR089W_mRNA	YDR089W	NM_001180397.1	RefSeq_dna	DEPENDENT	-	-	-
YDR275W	YDR275W_mRNA	YDR275W	NP_010561.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR275W	YDR275W_mRNA	YDR275W	NM_001180583.1	RefSeq_dna	DEPENDENT	-	-	-
YDR043C	YDR043C_mRNA	YDR043C	NP_010328.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR043C	YDR043C_mRNA	YDR043C	NM_001180351.3	RefSeq_dna	DEPENDENT	-	-	-
YDR129C	YDR129C_mRNA	YDR129C	NP_010414.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR129C	YDR129C_mRNA	YDR129C	NM_001180437.3	RefSeq_dna	DEPENDENT	-	-	-
YDL066W	YDL066W_mRNA	YDL066W	NP_010217.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL066W	YDL066W_mRNA	YDL066W	NM_001180125.1	RefSeq_dna	DEPENDENT	-	-	-
YDR302W	YDR302W_mRNA	YDR302W	NP_010588.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR302W	YDR302W_mRNA	YDR302W	NM_001180610.1	RefSeq_dna	DEPENDENT	-	-	-
YDR239C	YDR239C_mRNA	YDR239C	NP_010525.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR239C	YDR239C_mRNA	YDR239C	NM_001180547.1	RefSeq_dna	DEPENDENT	-	-	-
YDR539W	YDR539W_mRNA	YDR539W	NP_010828.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR539W	YDR539W_mRNA	YDR539W	NM_001180847.1	RefSeq_dna	DEPENDENT	-	-	-
YDL125C	YDL125C_mRNA	YDL125C	NP_010158.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL125C	YDL125C_mRNA	YDL125C	NM_001180184.1	RefSeq_dna	DEPENDENT	-	-	-
YDR493W	YDR493W_mRNA	YDR493W	NP_010781.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR493W	YDR493W_mRNA	YDR493W	NM_001180801.1	RefSeq_dna	DEPENDENT	-	-	-
YDR101C	YDR101C_mRNA	YDR101C	NP_010386.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR101C	YDR101C_mRNA	YDR101C	NM_001180409.1	RefSeq_dna	DEPENDENT	-	-	-
YDR182W-A	YDR182W-A_mRNA	YDR182W-A	NP_878063.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR182W-A	YDR182W-A_mRNA	YDR182W-A	NM_001184545.3	RefSeq_dna	DEPENDENT	-	-	-
YDR212W	YDR212W_mRNA	YDR212W	NP_010498.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR212W	YDR212W_mRNA	YDR212W	NM_001180520.1	RefSeq_dna	DEPENDENT	-	-	-
YDR476C	YDR476C_mRNA	YDR476C	NP_010764.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR476C	YDR476C_mRNA	YDR476C	NM_001180784.1	RefSeq_dna	DEPENDENT	-	-	-
YDL131W	YDL131W_mRNA	YDL131W	NP_010151.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL131W	YDL131W_mRNA	YDL131W	NM_001180190.1	RefSeq_dna	DEPENDENT	-	-	-
YDR458C	YDR458C_mRNA	YDR458C	NP_010746.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR458C	YDR458C_mRNA	YDR458C	NM_001180766.1	RefSeq_dna	DEPENDENT	-	-	-
YDR081C	YDR081C_mRNA	YDR081C	NP_010366.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR081C	YDR081C_mRNA	YDR081C	NM_001180389.1	RefSeq_dna	DEPENDENT	-	-	-
YDR113C	YDR113C_mRNA	YDR113C	NP_010398.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR113C	YDR113C_mRNA	YDR113C	NM_001180421.3	RefSeq_dna	DEPENDENT	-	-	-
YDR168W	YDR168W_mRNA	YDR168W	NP_010452.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR168W	YDR168W_mRNA	YDR168W	NM_001180475.1	RefSeq_dna	DEPENDENT	-	-	-
YDR520C	YDR520C_mRNA	YDR520C	NP_010808.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR520C	YDR520C_mRNA	YDR520C	NM_001180828.3	RefSeq_dna	DEPENDENT	-	-	-
YDR307W	YDR307W_mRNA	YDR307W	NP_010593.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR307W	YDR307W_mRNA	YDR307W	NM_001180615.3	RefSeq_dna	DEPENDENT	-	-	-
YDR265W	YDR265W_mRNA	YDR265W	NP_010551.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR265W	YDR265W_mRNA	YDR265W	NM_001180573.1	RefSeq_dna	DEPENDENT	-	-	-
YDL076C	YDL076C_mRNA	YDL076C	NP_010207.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL076C	YDL076C_mRNA	YDL076C	NM_001180135.1	RefSeq_dna	DEPENDENT	-	-	-
YDL006W	YDL006W_mRNA	YDL006W	NP_010278.3	RefSeq_peptide	DEPENDENT	-	-	-
YDL006W	YDL006W_mRNA	YDL006W	NM_001180065.3	RefSeq_dna	DEPENDENT	-	-	-
YDL086W	YDL086W_mRNA	YDL086W	NP_010197.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL086W	YDL086W_mRNA	YDL086W	NM_001180145.1	RefSeq_dna	DEPENDENT	-	-	-
YDR238C	YDR238C_mRNA	YDR238C	NP_010524.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR238C	YDR238C_mRNA	YDR238C	NM_001180546.3	RefSeq_dna	DEPENDENT	-	-	-
YDR077W	YDR077W_mRNA	YDR077W	NP_010362.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR077W	YDR077W_mRNA	YDR077W	NM_001180385.3	RefSeq_dna	DEPENDENT	-	-	-
YDR381C-A	YDR381C-A_mRNA	YDR381C-A	NP_219495.2	RefSeq_peptide	DEPENDENT	-	-	-
YDR381C-A	YDR381C-A_mRNA	YDR381C-A	NM_001184511.1	RefSeq_dna	DEPENDENT	-	-	-
YDL083C	YDL083C_mRNA	YDL083C	NP_010200.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL083C	YDL083C_mRNA	YDL083C	NP_013863.2	RefSeq_peptide	DEPENDENT	-	-	-
YDL083C	YDL083C_mRNA	YDL083C	NM_001180142.1	RefSeq_dna	DEPENDENT	-	-	-
YDL083C	YDL083C_mRNA	YDL083C	NM_001182645.1	RefSeq_dna	DEPENDENT	-	-	-
YDR036C	YDR036C_mRNA	YDR036C	NP_010321.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR036C	YDR036C_mRNA	YDR036C	NM_001180344.1	RefSeq_dna	DEPENDENT	-	-	-
YDR057W	YDR057W_mRNA	YDR057W	NP_010342.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR057W	YDR057W_mRNA	YDR057W	NM_001180365.3	RefSeq_dna	DEPENDENT	-	-	-
YDR513W	YDR513W_mRNA	YDR513W	NP_010801.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR513W	YDR513W_mRNA	YDR513W	NM_001180821.1	RefSeq_dna	DEPENDENT	-	-	-
YDR487C	YDR487C_mRNA	YDR487C	NP_010775.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR487C	YDR487C_mRNA	YDR487C	NM_001180795.1	RefSeq_dna	DEPENDENT	-	-	-
YDR066C	YDR066C_mRNA	YDR066C	NP_010351.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR066C	YDR066C_mRNA	YDR066C	NM_001180374.1	RefSeq_dna	DEPENDENT	-	-	-
YDR352W	YDR352W_mRNA	YDR352W	NP_010639.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR352W	YDR352W_mRNA	YDR352W	NM_001180660.1	RefSeq_dna	DEPENDENT	-	-	-
YDR079C-A	YDR079C-A_mRNA	YDR079C-A	NP_076886.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR079C-A	YDR079C-A_mRNA	YDR079C-A	NM_001184469.3	RefSeq_dna	DEPENDENT	-	-	-
YDR204W	YDR204W_mRNA	YDR204W	NP_010490.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR204W	YDR204W_mRNA	YDR204W	NM_001180512.1	RefSeq_dna	DEPENDENT	-	-	-
YDL024C	YDL024C_mRNA	YDL024C	NP_010260.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL024C	YDL024C_mRNA	YDL024C	NM_001180083.1	RefSeq_dna	DEPENDENT	-	-	-
YDR109C	YDR109C_mRNA	YDR109C	NP_010394.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR109C	YDR109C_mRNA	YDR109C	NM_001180417.3	RefSeq_dna	DEPENDENT	-	-	-
YDR466W	YDR466W_mRNA	YDR466W	NP_010754.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR466W	YDR466W_mRNA	YDR466W	NM_001180774.1	RefSeq_dna	DEPENDENT	-	-	-
YDR427W	YDR427W_mRNA	YDR427W	NP_010715.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR427W	YDR427W_mRNA	YDR427W	NM_001180735.3	RefSeq_dna	DEPENDENT	-	-	-
YDL044C	YDL044C_mRNA	YDL044C	NP_010240.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL044C	YDL044C_mRNA	YDL044C	NM_001180103.1	RefSeq_dna	DEPENDENT	-	-	-
YDL079C	YDL079C_mRNA	YDL079C	NP_010204.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL079C	YDL079C_mRNA	YDL079C	NM_001180138.1	RefSeq_dna	DEPENDENT	-	-	-
YDR377W	YDR377W_mRNA	YDR377W	NP_010665.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR377W	YDR377W_mRNA	YDR377W	NM_001180685.3	RefSeq_dna	DEPENDENT	-	-	-
YDR219C	YDR219C_mRNA	YDR219C	NP_010505.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR219C	YDR219C_mRNA	YDR219C	NM_001180527.3	RefSeq_dna	DEPENDENT	-	-	-
YDR416W	YDR416W_mRNA	YDR416W	NP_010704.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR416W	YDR416W_mRNA	YDR416W	NM_001180724.1	RefSeq_dna	DEPENDENT	-	-	-
YDR365C	YDR365C_mRNA	YDR365C	NP_010653.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR365C	YDR365C_mRNA	YDR365C	NM_001180673.1	RefSeq_dna	DEPENDENT	-	-	-
YDL233W	YDL233W_mRNA	YDL233W	NP_010048.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL233W	YDL233W_mRNA	YDL233W	NM_001180293.1	RefSeq_dna	DEPENDENT	-	-	-
YDR287W	YDR287W_mRNA	YDR287W	NP_010573.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR287W	YDR287W_mRNA	YDR287W	NM_001180595.3	RefSeq_dna	DEPENDENT	-	-	-
YDR448W	YDR448W_mRNA	YDR448W	NP_010736.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR448W	YDR448W_mRNA	YDR448W	NM_001180756.3	RefSeq_dna	DEPENDENT	-	-	-
YDR180W	YDR180W_mRNA	YDR180W	NP_010466.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR180W	YDR180W_mRNA	YDR180W	NM_001180488.3	RefSeq_dna	DEPENDENT	-	-	-
YDR294C	YDR294C_mRNA	YDR294C	NP_010580.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR294C	YDR294C_mRNA	YDR294C	NM_001180602.1	RefSeq_dna	DEPENDENT	-	-	-
YDR198C	YDR198C_mRNA	YDR198C	NP_010484.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR198C	YDR198C_mRNA	YDR198C	NM_001180506.1	RefSeq_dna	DEPENDENT	-	-	-
YDL119C	YDL119C_mRNA	YDL119C	NP_010164.1	RefSeq_peptide	DEPENDENT	-	-	-
